1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D60000002C391D21
Is Mission Active?  true
Mission Start:  Mon Jan 28 20:33:00 CST 2013
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1049
Total Samples:  8065
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
1/28/13 8:33:00 PM,C,32
1/29/13 12:33:00 AM,C,22.5
1/29/13 4:33:00 AM,C,21.5
1/29/13 8:33:00 AM,C,22
1/29/13 12:33:00 PM,C,19.5
1/29/13 4:33:00 PM,C,20.5
1/29/13 8:33:00 PM,C,21
1/30/13 12:33:00 AM,C,21.5
1/30/13 4:33:00 AM,C,20.5
1/30/13 8:33:00 AM,C,17
1/30/13 12:33:00 PM,C,9.5
1/30/13 4:33:00 PM,C,4.5
1/30/13 8:33:00 PM,C,4
1/31/13 12:33:00 AM,C,3.5
1/31/13 4:33:00 AM,C,3
1/31/13 8:33:00 AM,C,3
1/31/13 12:33:00 PM,C,5
1/31/13 4:33:00 PM,C,4.5
1/31/13 8:33:00 PM,C,3.5
2/1/13 12:33:00 AM,C,2.5
2/1/13 4:33:00 AM,C,2
2/1/13 8:33:00 AM,C,2
2/1/13 12:33:00 PM,C,5
2/1/13 4:33:00 PM,C,4
2/1/13 8:33:00 PM,C,2.5
2/2/13 12:33:00 AM,C,2
2/2/13 4:33:00 AM,C,1.5
2/2/13 8:33:00 AM,C,2
2/2/13 12:33:00 PM,C,6
2/2/13 4:33:00 PM,C,4.5
2/2/13 8:33:00 PM,C,3
2/3/13 12:33:00 AM,C,2
2/3/13 4:33:00 AM,C,2
2/3/13 8:33:00 AM,C,2
2/3/13 12:33:00 PM,C,7.5
2/3/13 4:33:00 PM,C,9
2/3/13 8:33:00 PM,C,5
2/4/13 12:33:00 AM,C,4
2/4/13 4:33:00 AM,C,3.5
2/4/13 8:33:00 AM,C,4.5
2/4/13 12:33:00 PM,C,9.5
2/4/13 4:33:00 PM,C,11.5
2/4/13 8:33:00 PM,C,5.5
2/5/13 12:33:00 AM,C,3.5
2/5/13 4:33:00 AM,C,2.5
2/5/13 8:33:00 AM,C,2
2/5/13 12:33:00 PM,C,8.5
2/5/13 4:33:00 PM,C,10.5
2/5/13 8:33:00 PM,C,5
2/6/13 12:33:00 AM,C,3
2/6/13 4:33:00 AM,C,1.5
2/6/13 8:33:00 AM,C,1.5
2/6/13 12:33:00 PM,C,9
2/6/13 4:33:00 PM,C,10
2/6/13 8:33:00 PM,C,6.5
2/7/13 12:33:00 AM,C,5.5
2/7/13 4:33:00 AM,C,4
2/7/13 8:33:00 AM,C,5
2/7/13 12:33:00 PM,C,9
2/7/13 4:33:00 PM,C,8.5
2/7/13 8:33:00 PM,C,8
2/8/13 12:33:00 AM,C,6.5
2/8/13 4:33:00 AM,C,5.5
2/8/13 8:33:00 AM,C,5
2/8/13 12:33:00 PM,C,6
2/8/13 4:33:00 PM,C,8.5
2/8/13 8:33:00 PM,C,5
2/9/13 12:33:00 AM,C,4.5
2/9/13 4:33:00 AM,C,3.5
2/9/13 8:33:00 AM,C,3
2/9/13 12:33:00 PM,C,8
2/9/13 4:33:00 PM,C,9
2/9/13 8:33:00 PM,C,5.5
2/10/13 12:33:00 AM,C,5
2/10/13 4:33:00 AM,C,5
2/10/13 8:33:00 AM,C,6
2/10/13 12:33:00 PM,C,8.5
2/10/13 4:33:00 PM,C,11
2/10/13 8:33:00 PM,C,8
2/11/13 12:33:00 AM,C,5
2/11/13 4:33:00 AM,C,4.5
2/11/13 8:33:00 AM,C,4
2/11/13 12:33:00 PM,C,9
2/11/13 4:33:00 PM,C,10.5
2/11/13 8:33:00 PM,C,6
2/12/13 12:33:00 AM,C,4.5
2/12/13 4:33:00 AM,C,4
2/12/13 8:33:00 AM,C,3.5
2/12/13 12:33:00 PM,C,5
2/12/13 4:33:00 PM,C,6.5
2/12/13 8:33:00 PM,C,5.5
2/13/13 12:33:00 AM,C,4.5
2/13/13 4:33:00 AM,C,3.5
2/13/13 8:33:00 AM,C,3.5
2/13/13 12:33:00 PM,C,8
2/13/13 4:33:00 PM,C,9.5
2/13/13 8:33:00 PM,C,7
2/14/13 12:33:00 AM,C,5
2/14/13 4:33:00 AM,C,5
2/14/13 8:33:00 AM,C,4.5
2/14/13 12:33:00 PM,C,8.5
2/14/13 4:33:00 PM,C,10.5
2/14/13 8:33:00 PM,C,8.5
2/15/13 12:33:00 AM,C,6.5
2/15/13 4:33:00 AM,C,5.5
2/15/13 8:33:00 AM,C,5.5
2/15/13 12:33:00 PM,C,9
2/15/13 4:33:00 PM,C,10
2/15/13 8:33:00 PM,C,5
2/16/13 12:33:00 AM,C,5
2/16/13 4:33:00 AM,C,4
2/16/13 8:33:00 AM,C,4
2/16/13 12:33:00 PM,C,6
2/16/13 4:33:00 PM,C,8
2/16/13 8:33:00 PM,C,5
2/17/13 12:33:00 AM,C,5
2/17/13 4:33:00 AM,C,4
2/17/13 8:33:00 AM,C,4
2/17/13 12:33:00 PM,C,8.5
2/17/13 4:33:00 PM,C,10.5
2/17/13 8:33:00 PM,C,7.5
2/18/13 12:33:00 AM,C,5.5
2/18/13 4:33:00 AM,C,5
2/18/13 8:33:00 AM,C,5.5
2/18/13 12:33:00 PM,C,7.5
2/18/13 4:33:00 PM,C,8.5
2/18/13 8:33:00 PM,C,6.5
2/19/13 12:33:00 AM,C,5
2/19/13 4:33:00 AM,C,4
2/19/13 8:33:00 AM,C,3.5
2/19/13 12:33:00 PM,C,7.5
2/19/13 4:33:00 PM,C,8.5
2/19/13 8:33:00 PM,C,4.5
2/20/13 12:33:00 AM,C,3.5
2/20/13 4:33:00 AM,C,2.5
2/20/13 8:33:00 AM,C,2.5
2/20/13 12:33:00 PM,C,3.5
2/20/13 4:33:00 PM,C,3.5
2/20/13 8:33:00 PM,C,2.5
2/21/13 12:33:00 AM,C,2
2/21/13 4:33:00 AM,C,1.5
2/21/13 8:33:00 AM,C,1.5
2/21/13 12:33:00 PM,C,2
2/21/13 4:33:00 PM,C,1.5
2/21/13 8:33:00 PM,C,1.5
2/22/13 12:33:00 AM,C,1.5
2/22/13 4:33:00 AM,C,1.5
2/22/13 8:33:00 AM,C,1.5
2/22/13 12:33:00 PM,C,2
2/22/13 4:33:00 PM,C,2
2/22/13 8:33:00 PM,C,1.5
2/23/13 12:33:00 AM,C,1
2/23/13 4:33:00 AM,C,1
2/23/13 8:33:00 AM,C,1.5
2/23/13 12:33:00 PM,C,3.5
2/23/13 4:33:00 PM,C,3
2/23/13 8:33:00 PM,C,2
2/24/13 12:33:00 AM,C,1.5
2/24/13 4:33:00 AM,C,1.5
2/24/13 8:33:00 AM,C,1.5
2/24/13 12:33:00 PM,C,5.5
2/24/13 4:33:00 PM,C,6.5
2/24/13 8:33:00 PM,C,5
2/25/13 12:33:00 AM,C,4
2/25/13 4:33:00 AM,C,3.5
2/25/13 8:33:00 AM,C,3.5
2/25/13 12:33:00 PM,C,6
2/25/13 4:33:00 PM,C,6
2/25/13 8:33:00 PM,C,5
2/26/13 12:33:00 AM,C,4
2/26/13 4:33:00 AM,C,3.5
2/26/13 8:33:00 AM,C,3.5
2/26/13 12:33:00 PM,C,4
2/26/13 4:33:00 PM,C,4
2/26/13 8:33:00 PM,C,4
2/27/13 12:33:00 AM,C,4
2/27/13 4:33:00 AM,C,4
2/27/13 8:33:00 AM,C,4
2/27/13 12:33:00 PM,C,4.5
2/27/13 4:33:00 PM,C,4.5
2/27/13 8:33:00 PM,C,4.5
2/28/13 12:33:00 AM,C,4.5
2/28/13 4:33:00 AM,C,4.5
2/28/13 8:33:00 AM,C,4.5
2/28/13 12:33:00 PM,C,5
2/28/13 4:33:00 PM,C,5
2/28/13 8:33:00 PM,C,5
3/1/13 12:33:00 AM,C,5
3/1/13 4:33:00 AM,C,5
3/1/13 8:33:00 AM,C,5
3/1/13 12:33:00 PM,C,5.5
3/1/13 4:33:00 PM,C,5.5
3/1/13 8:33:00 PM,C,5.5
3/2/13 12:33:00 AM,C,5.5
3/2/13 4:33:00 AM,C,5.5
3/2/13 8:33:00 AM,C,5.5
3/2/13 12:33:00 PM,C,6
3/2/13 4:33:00 PM,C,7
3/2/13 8:33:00 PM,C,6
3/3/13 12:33:00 AM,C,5.5
3/3/13 4:33:00 AM,C,5.5
3/3/13 8:33:00 AM,C,5.5
3/3/13 12:33:00 PM,C,7.5
3/3/13 4:33:00 PM,C,7.5
3/3/13 8:33:00 PM,C,6.5
3/4/13 12:33:00 AM,C,6
3/4/13 4:33:00 AM,C,5.5
3/4/13 8:33:00 AM,C,6
3/4/13 12:33:00 PM,C,8
3/4/13 4:33:00 PM,C,9
3/4/13 8:33:00 PM,C,9
3/5/13 12:33:00 AM,C,8.5
3/5/13 4:33:00 AM,C,8.5
3/5/13 8:33:00 AM,C,8
3/5/13 12:33:00 PM,C,9
3/5/13 4:33:00 PM,C,10
3/5/13 8:33:00 PM,C,9
3/6/13 12:33:00 AM,C,7.5
3/6/13 4:33:00 AM,C,7
3/6/13 8:33:00 AM,C,6.5
3/6/13 12:33:00 PM,C,8
3/6/13 4:33:00 PM,C,9
3/6/13 8:33:00 PM,C,8
3/7/13 12:33:00 AM,C,7
3/7/13 4:33:00 AM,C,6.5
3/7/13 8:33:00 AM,C,6.5
3/7/13 12:33:00 PM,C,9
3/7/13 4:33:00 PM,C,9.5
3/7/13 8:33:00 PM,C,9.5
