1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 470000002C362321
Is Mission Active?  true
Mission Start:  Thu Dec 20 08:01:00 CST 2012
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1142
Total Samples:  2206
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
12/20/12 8:01:00 AM,C,21
12/20/12 12:01:00 PM,C,-0.5
12/20/12 4:01:00 PM,C,4.5
12/20/12 8:01:00 PM,C,4.5
12/21/12 12:01:00 AM,C,5
12/21/12 4:01:00 AM,C,5
12/21/12 8:01:00 AM,C,5
12/21/12 12:01:00 PM,C,5.5
12/21/12 4:01:00 PM,C,5.5
12/21/12 8:01:00 PM,C,5
12/22/12 12:01:00 AM,C,5
12/22/12 4:01:00 AM,C,5
12/22/12 8:01:00 AM,C,5
12/22/12 12:01:00 PM,C,5.5
12/22/12 4:01:00 PM,C,5.5
12/22/12 8:01:00 PM,C,5.5
12/23/12 12:01:00 AM,C,5
12/23/12 4:01:00 AM,C,5
12/23/12 8:01:00 AM,C,5
12/23/12 12:01:00 PM,C,5.5
12/23/12 4:01:00 PM,C,6
12/23/12 8:01:00 PM,C,6
12/24/12 12:01:00 AM,C,6
12/24/12 4:01:00 AM,C,6
12/24/12 8:01:00 AM,C,5.5
12/24/12 12:01:00 PM,C,6
12/24/12 4:01:00 PM,C,6
12/24/12 8:01:00 PM,C,5.5
12/25/12 12:01:00 AM,C,5
12/25/12 4:01:00 AM,C,5
12/25/12 8:01:00 AM,C,5
12/25/12 12:01:00 PM,C,5.5
12/25/12 4:01:00 PM,C,5
12/25/12 8:01:00 PM,C,5
12/26/12 12:01:00 AM,C,5
12/26/12 4:01:00 AM,C,5
12/26/12 8:01:00 AM,C,5
12/26/12 12:01:00 PM,C,5.5
12/26/12 4:01:00 PM,C,5.5
12/26/12 8:01:00 PM,C,5
12/27/12 12:01:00 AM,C,5
12/27/12 4:01:00 AM,C,5
12/27/12 8:01:00 AM,C,5
12/27/12 12:01:00 PM,C,5.5
12/27/12 4:01:00 PM,C,5.5
12/27/12 8:01:00 PM,C,5
12/28/12 12:01:00 AM,C,5
12/28/12 4:01:00 AM,C,5
12/28/12 8:01:00 AM,C,5
12/28/12 12:01:00 PM,C,5
12/28/12 4:01:00 PM,C,5
12/28/12 8:01:00 PM,C,5
12/29/12 12:01:00 AM,C,4.5
12/29/12 4:01:00 AM,C,5
12/29/12 8:01:00 AM,C,5
12/29/12 12:01:00 PM,C,5
12/29/12 4:01:00 PM,C,5
12/29/12 8:01:00 PM,C,5
12/30/12 12:01:00 AM,C,4.5
12/30/12 4:01:00 AM,C,5
12/30/12 8:01:00 AM,C,5
12/30/12 12:01:00 PM,C,5
12/30/12 4:01:00 PM,C,5
12/30/12 8:01:00 PM,C,4.5
12/31/12 12:01:00 AM,C,4.5
12/31/12 4:01:00 AM,C,4.5
12/31/12 8:01:00 AM,C,4.5
12/31/12 12:01:00 PM,C,4.5
12/31/12 4:01:00 PM,C,4.5
12/31/12 8:01:00 PM,C,4.5
1/1/13 12:01:00 AM,C,4.5
1/1/13 4:01:00 AM,C,4.5
1/1/13 8:01:00 AM,C,4.5
1/1/13 12:01:00 PM,C,5
1/1/13 4:01:00 PM,C,5
1/1/13 8:01:00 PM,C,4.5
1/2/13 12:01:00 AM,C,4.5
1/2/13 4:01:00 AM,C,4.5
1/2/13 8:01:00 AM,C,4.5
1/2/13 12:01:00 PM,C,5
1/2/13 4:01:00 PM,C,5
1/2/13 8:01:00 PM,C,4.5
1/3/13 12:01:00 AM,C,4.5
1/3/13 4:01:00 AM,C,4.5
1/3/13 8:01:00 AM,C,4.5
1/3/13 12:01:00 PM,C,5
1/3/13 4:01:00 PM,C,5
1/3/13 8:01:00 PM,C,4.5
1/4/13 12:01:00 AM,C,4.5
1/4/13 4:01:00 AM,C,4.5
1/4/13 8:01:00 AM,C,4.5
1/4/13 12:01:00 PM,C,5
1/4/13 4:01:00 PM,C,5
1/4/13 8:01:00 PM,C,4.5
1/5/13 12:01:00 AM,C,4.5
1/5/13 4:01:00 AM,C,4.5
1/5/13 8:01:00 AM,C,4.5
1/5/13 12:01:00 PM,C,5
1/5/13 4:01:00 PM,C,4.5
1/5/13 8:01:00 PM,C,4.5
1/6/13 12:01:00 AM,C,4.5
1/6/13 4:01:00 AM,C,4.5
1/6/13 8:01:00 AM,C,4.5
1/6/13 12:01:00 PM,C,5
1/6/13 4:01:00 PM,C,5
1/6/13 8:01:00 PM,C,4.5
1/7/13 12:01:00 AM,C,4.5
1/7/13 4:01:00 AM,C,4.5
1/7/13 8:01:00 AM,C,4.5
1/7/13 12:01:00 PM,C,5
1/7/13 4:01:00 PM,C,5
1/7/13 8:01:00 PM,C,4.5
1/8/13 12:01:00 AM,C,4.5
1/8/13 4:01:00 AM,C,4.5
1/8/13 8:01:00 AM,C,4.5
1/8/13 12:01:00 PM,C,5
1/8/13 4:01:00 PM,C,5
1/8/13 8:01:00 PM,C,5
1/9/13 12:01:00 AM,C,4.5
1/9/13 4:01:00 AM,C,4.5
1/9/13 8:01:00 AM,C,4.5
1/9/13 12:01:00 PM,C,5.5
1/9/13 4:01:00 PM,C,6
1/9/13 8:01:00 PM,C,6
1/10/13 12:01:00 AM,C,6
1/10/13 4:01:00 AM,C,6.5
1/10/13 8:01:00 AM,C,6
1/10/13 12:01:00 PM,C,6.5
1/10/13 4:01:00 PM,C,6.5
1/10/13 8:01:00 PM,C,6.5
1/11/13 12:01:00 AM,C,6.5
1/11/13 4:01:00 AM,C,6.5
1/11/13 8:01:00 AM,C,6.5
1/11/13 12:01:00 PM,C,7.5
1/11/13 4:01:00 PM,C,8
1/11/13 8:01:00 PM,C,8
1/12/13 12:01:00 AM,C,8
1/12/13 4:01:00 AM,C,8
1/12/13 8:01:00 AM,C,8
1/12/13 12:01:00 PM,C,8.5
1/12/13 4:01:00 PM,C,8.5
1/12/13 8:01:00 PM,C,7
1/13/13 12:01:00 AM,C,5.5
1/13/13 4:01:00 AM,C,5
1/13/13 8:01:00 AM,C,5.5
1/13/13 12:01:00 PM,C,5.5
1/13/13 4:01:00 PM,C,6
1/13/13 8:01:00 PM,C,5.5
1/14/13 12:01:00 AM,C,5.5
1/14/13 4:01:00 AM,C,5.5
1/14/13 8:01:00 AM,C,5.5
1/14/13 12:01:00 PM,C,6
1/14/13 4:01:00 PM,C,6
1/14/13 8:01:00 PM,C,6
1/15/13 12:01:00 AM,C,5.5
1/15/13 4:01:00 AM,C,5.5
1/15/13 8:01:00 AM,C,5.5
1/15/13 12:01:00 PM,C,6
1/15/13 4:01:00 PM,C,6
1/15/13 8:01:00 PM,C,6
1/16/13 12:01:00 AM,C,5.5
1/16/13 4:01:00 AM,C,5.5
1/16/13 8:01:00 AM,C,5.5
1/16/13 12:01:00 PM,C,6
1/16/13 4:01:00 PM,C,6
1/16/13 8:01:00 PM,C,6
1/17/13 12:01:00 AM,C,5.5
1/17/13 4:01:00 AM,C,5.5
1/17/13 8:01:00 AM,C,5.5
1/17/13 12:01:00 PM,C,6
1/17/13 4:01:00 PM,C,6
1/17/13 8:01:00 PM,C,5.5
1/18/13 12:01:00 AM,C,5.5
1/18/13 4:01:00 AM,C,5.5
1/18/13 8:01:00 AM,C,5.5
1/18/13 12:01:00 PM,C,6
1/18/13 4:01:00 PM,C,6
1/18/13 8:01:00 PM,C,5.5
1/19/13 12:01:00 AM,C,5.5
1/19/13 4:01:00 AM,C,5
1/19/13 8:01:00 AM,C,5
1/19/13 12:01:00 PM,C,6
1/19/13 4:01:00 PM,C,6
1/19/13 8:01:00 PM,C,6
1/20/13 12:01:00 AM,C,6
1/20/13 4:01:00 AM,C,5.5
1/20/13 8:01:00 AM,C,5.5
1/20/13 12:01:00 PM,C,6
1/20/13 4:01:00 PM,C,6.5
1/20/13 8:01:00 PM,C,6.5
1/21/13 12:01:00 AM,C,5.5
1/21/13 4:01:00 AM,C,5
1/21/13 8:01:00 AM,C,5
1/21/13 12:01:00 PM,C,6
1/21/13 4:01:00 PM,C,5.5
1/21/13 8:01:00 PM,C,5
1/22/13 12:01:00 AM,C,5
1/22/13 4:01:00 AM,C,5
1/22/13 8:01:00 AM,C,5
1/22/13 12:01:00 PM,C,6
1/22/13 4:01:00 PM,C,5.5
