1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1C0000002C2F6B21
Is Mission Active?  true
Mission Start:  Fri Jan 11 09:01:00 CST 2013
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1145
Total Samples:  8481
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
1/11/13 9:01:00 AM,C,14
1/11/13 1:01:00 PM,C,21.5
1/11/13 5:01:00 PM,C,11
1/11/13 9:01:00 PM,C,10
1/12/13 1:01:00 AM,C,10
1/12/13 5:01:00 AM,C,8.5
1/12/13 9:01:00 AM,C,12
1/12/13 1:01:00 PM,C,8
1/12/13 5:01:00 PM,C,3
1/12/13 9:01:00 PM,C,2.5
1/13/13 1:01:00 AM,C,0
1/13/13 5:01:00 AM,C,-1.5
1/13/13 9:01:00 AM,C,-1
1/13/13 1:01:00 PM,C,0
1/13/13 5:01:00 PM,C,-2.5
1/13/13 9:01:00 PM,C,-4.5
1/14/13 1:01:00 AM,C,-6
1/14/13 5:01:00 AM,C,-8
1/14/13 9:01:00 AM,C,-4
1/14/13 1:01:00 PM,C,1.5
1/14/13 5:01:00 PM,C,-3
1/14/13 9:01:00 PM,C,-8
1/15/13 1:01:00 AM,C,-8.5
1/15/13 5:01:00 AM,C,-9.5
1/15/13 9:01:00 AM,C,-4
1/15/13 1:01:00 PM,C,0.5
1/15/13 5:01:00 PM,C,-1.5
1/15/13 9:01:00 PM,C,-6
1/16/13 1:01:00 AM,C,-9
1/16/13 5:01:00 AM,C,-10
1/16/13 9:01:00 AM,C,-4
1/16/13 1:01:00 PM,C,11
1/16/13 5:01:00 PM,C,-1
1/16/13 9:01:00 PM,C,-4.5
1/17/13 1:01:00 AM,C,-4
1/17/13 5:01:00 AM,C,-6
1/17/13 9:01:00 AM,C,0
1/17/13 1:01:00 PM,C,12.5
1/17/13 5:01:00 PM,C,0
1/17/13 9:01:00 PM,C,-5.5
1/18/13 1:01:00 AM,C,-7
1/18/13 5:01:00 AM,C,-8
1/18/13 9:01:00 AM,C,6
1/18/13 1:01:00 PM,C,18.5
1/18/13 5:01:00 PM,C,7
1/18/13 9:01:00 PM,C,4
1/19/13 1:01:00 AM,C,2
1/19/13 5:01:00 AM,C,2.5
1/19/13 9:01:00 AM,C,11.5
1/19/13 1:01:00 PM,C,24
1/19/13 5:01:00 PM,C,9
1/19/13 9:01:00 PM,C,-1
1/20/13 1:01:00 AM,C,-2
1/20/13 5:01:00 AM,C,-3.5
1/20/13 9:01:00 AM,C,8
1/20/13 1:01:00 PM,C,17.5
1/20/13 5:01:00 PM,C,2.5
1/20/13 9:01:00 PM,C,-2
1/21/13 1:01:00 AM,C,-7
1/21/13 5:01:00 AM,C,-6
1/21/13 9:01:00 AM,C,1
1/21/13 1:01:00 PM,C,8
1/21/13 5:01:00 PM,C,-3
1/21/13 9:01:00 PM,C,-4.5
1/22/13 1:01:00 AM,C,-6.5
1/22/13 5:01:00 AM,C,-6.5
1/22/13 9:01:00 AM,C,-3.5
1/22/13 1:01:00 PM,C,9
1/22/13 5:01:00 PM,C,-1.5
1/22/13 9:01:00 PM,C,-8
1/23/13 1:01:00 AM,C,-9
1/23/13 5:01:00 AM,C,-8.5
1/23/13 9:01:00 AM,C,4
1/23/13 1:01:00 PM,C,19
1/23/13 5:01:00 PM,C,2.5
1/23/13 9:01:00 PM,C,-2.5
1/24/13 1:01:00 AM,C,-4
1/24/13 5:01:00 AM,C,-6.5
1/24/13 9:01:00 AM,C,-3.5
1/24/13 1:01:00 PM,C,5
1/24/13 5:01:00 PM,C,0
1/24/13 9:01:00 PM,C,-1
1/25/13 1:01:00 AM,C,-1.5
1/25/13 5:01:00 AM,C,-2
1/25/13 9:01:00 AM,C,1
1/25/13 1:01:00 PM,C,17
1/25/13 5:01:00 PM,C,3
1/25/13 9:01:00 PM,C,-4.5
1/26/13 1:01:00 AM,C,-4.5
1/26/13 5:01:00 AM,C,-2.5
1/26/13 9:01:00 AM,C,8.5
1/26/13 1:01:00 PM,C,23
1/26/13 5:01:00 PM,C,5
1/26/13 9:01:00 PM,C,-1.5
1/27/13 1:01:00 AM,C,2
1/27/13 5:01:00 AM,C,2
1/27/13 9:01:00 AM,C,4
1/27/13 1:01:00 PM,C,10.5
1/27/13 5:01:00 PM,C,10.5
1/27/13 9:01:00 PM,C,11.5
1/28/13 1:01:00 AM,C,13.5
1/28/13 5:01:00 AM,C,14
1/28/13 9:01:00 AM,C,17.5
1/28/13 1:01:00 PM,C,21.5
1/28/13 5:01:00 PM,C,18
1/28/13 9:01:00 PM,C,16.5
1/29/13 1:01:00 AM,C,16.5
1/29/13 5:01:00 AM,C,16.5
1/29/13 9:01:00 AM,C,18
1/29/13 1:01:00 PM,C,19.5
1/29/13 5:01:00 PM,C,11.5
1/29/13 9:01:00 PM,C,11.5
1/30/13 1:01:00 AM,C,11
1/30/13 5:01:00 AM,C,11
1/30/13 9:01:00 AM,C,10.5
1/30/13 1:01:00 PM,C,10.5
1/30/13 5:01:00 PM,C,9
1/30/13 9:01:00 PM,C,8.5
1/31/13 1:01:00 AM,C,8
1/31/13 5:01:00 AM,C,8
1/31/13 9:01:00 AM,C,7.5
1/31/13 1:01:00 PM,C,6.5
1/31/13 5:01:00 PM,C,6.5
1/31/13 9:01:00 PM,C,6
2/1/13 1:01:00 AM,C,5.5
2/1/13 5:01:00 AM,C,5
